Genre,B.Number,Opus,Date,Czech.Title,English.Title,Instrumentation,Remarks
Vocal,194,_,1895,Ukol_bavka,Lullaby,for voice and piano,after a poem by F. L. Jel’nek
Orchestral,195,107,1896,Vodn’k,The Water Goblin,for orchestra,symphonic poem
Orchestral,196,108,1896,Polednice,The Noon Witch,for orchestra,symphonic poem; also known as The Noonday Witch
Orchestral,197,109,1896,Zlat_ kolovrat,The Golden Spinning Wheel,for orchestra,symphonic poem
Orchestral,198,110,1896,Holoubek,The Wild Dove,for orchestra,symphonic poem; also known as The Wood Dove
Orchestral,199,111,1897,P’se_ bohat_rsk‡,A Hero's Song,for orchestra,symphonic poem
Opera,200,84,1897,Jakob’n,The Jacobin,,3 acts; revision of B. 159
Opera,201,112,1898_1899,_ert a K‡_a,The Devil and Kate,,comic opera in 3 acts; libretto by Adolf Wenig
Orchestral,201a,112,1899,"_ert a K‡_a, p_edehra k ope_e",Overture to The Devil and Kate,for orchestra,overture to the opera B. 201
Choral,202,113,1900,Slavnostn’ zp_v,Festival Song,for chorus and orchestra,after a poem by Jaroslav Vrchlick_
Opera,203,114,1900,Rusalka,Rusalka,,fairy tale opera in 3 acts; libretto by Jaroslav Kvapil
Orchestral,203a,114,1900,"Rusalka, p_edehra k ope_e",Overture to Rusalka,for orchestra,overture to the opera B. 203
Vocal,204,_,1901,Zp_v z Le_et’nsk_ho kov‡_e,Song of the Smith of Le_et’n,for voice and piano,words by Svatopluk _ech
Opera,205,71,1901,Svat‡ Ludmila,Saint Ludmila,,adapted from cantata B. 144
Opera,206,115,1902_1903,Armida,Armida,,4 acts; libretto by Jaroslav Vrchlick_
Orchestral,206a,115,1903,"Armida, p_edehra k ope_e",Overture to Armida,for orchestra,overture to the opera B. 206
Choral,601,_,1878,Dv_ irsk_ p’sn_,2 Irish Songs,for male chorus,arrangement of Robert Maver's songs
Choral,605,_,1894,Old Folks at Home,Old Folks at Home,"for soprano, bass-baritone, chorus and orchestra",arrangement of Stephen Foster's song
