Opus.Number,Burghauser.Catalog.Number,Composed.Year,Czech.Title,English.Title,Instrumentation,Premiere.Date,Premiere.Place,Premiere.Performers,Main .Key,Parts.Mvmts,Duration.mins,Genre,Notes
0,20,1870,Violoncellovˆ sonˆta f moll,Cello Sonata in F minor,for cello and piano,,,,,,,Chamber Music,
12,21,1871,Krˆl a uhlÍ_,King and Charcoal Burner,,,,,,,,Opera,
12,21a,1871,KoncertnÍ ouvertura F dur,Concert Overture in F major,Orchestral,,,,,,,Orchestral,
0,22,1871,Motivy z opery ÜKrˆl a uhlÍ_– [1],Potpourri on King and Charcoal Burner [1],for piano,,,,,,,Piano,
0,23,1871,PÍsn_ na slova Eli_ky Krˆsnohorsk_,Songs on Words by Eli_ka Krˆsnohorskˆ,for voice and piano,,,,,,,Vocal,
0,24,1871,Sirotek,The Orphan,for voice and piano,,,,,,,Vocal,
0,24a,1871,Rozmar_na,Rosmarine,for voice and piano,,,,,,,Vocal,
13/1,25,1871,KlavÍrnÍ trio,Piano Trio,"for violin, cello and piano",,,,,,,Chamber Music,
13/2,26,1871,KlavÍrnÍ trio,Piano Trio,"for violin, cello and piano",,,,,,,Chamber Music,
0,27,1872,D_dicov_ bil_ hory,The Heirs of the White Mountain,for chorus and orchestra,,,,,,,Choral,
5,28,1872,KlavÍrnÍ kvintet _. 1 A dur,Piano Quintet No. 1 in A major,"for 2 violins, viola, cello and piano",,,,,,,Chamber Music,
6,29,1872,_ty_i pÍsn_ na slova srbsk_ lidov_ poezie,4 Songs on Serbian Folk Poems,for voice and piano,,,,,,,Vocal,
7,30,1872,PÍsn_ z rukopisu ÜKrˆlov_dvorsk_ho–,"Songs from the ""Dv_r Krˆlov_"" Manuscript",,,,,,,,Vocal,
6 songs,for voice and piano,1850,,,,,,,,,,Manuscript,(Queen's Court Manuscript)
0,31,1872,T_i nokturna,,,,,,,,,Orchestral,
,,1850,,2. Mˆjovˆ noc,,,,,,,,Chamber Music,
,,1850,,3 Nocturnes,,,,,,,,Chamber Music,
,,1850,,2. May Night,,,,,,,,Chamber Music,
,No. 1 and No. 3 lost,1850,,,,,,,,,,Orchestral,
8,32,1872,Silhouetty,Silhouettes,for piano,,,,,,,Piano,
,,1850,,,,,,,,,,Chamber Music,MENU0:00
0,33,1873,Houslovˆ sonˆta a moll,Violin Sonata in A minor,for violin and piano,,,,,,,Chamber Music,
10,34,1873,Symfonie _. 3 Es dur,Symphony No. 3 in E_ major,Orchestral,,,,,,,Orchestral,
0,35,1873,"Romeo a Julia, p_edehra",Romeo and Juliet Overture,Orchestral,,,,,,,Orchestral,
0,36,1873,Oktet (Serenˆda),Octet (Serenade),"for clarinet, bassoon, horn, 2 violins, viola, double bass and piano",,,,,,,Chamber Music,
9,37,1873,Smy_cov_ kvartet _. 5 f moll,String Quartet No. 5 in F minor,"for 2 violins, viola and cello",,,,,,,Chamber Music,
11,38,1873,Romance f moll pro housle a klavÍr,Romance in F minor,for violin and piano,,,,,,,Chamber Music,
11,39,1877,Romance f moll pro housle a orchestr,Romance in F minor,for violin and orchestra,,,,,,,Concertante,
12,40,1873,Smy_cov_ kvartet _. 6 a moll,String Quartet No. 6 in A minor,"for 2 violins, viola and cello",,,,,,,Chamber Music,
0,40a,1873,Andante appassionato f dur,Andante appassionato in F major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
13,41,1874,Symfonie _. 4 d moll,Symphony No. 4 in D minor,Orchestral,,,,,,,Orchestral,
14,42,1874,Krˆl a uhlÍ_,King and Charcoal Burner,,,,,,,,Opera,
0,43,1874,Motivy z opery ÜKrˆl a uhlÍ_– [2],Potpourri on King and Charcoal Burner [2],for piano,,,,,,,Piano,
14,44,1874,Symfonickˆ bˆse_ (Rapsodie) a moll,Symphonic Poem (Rhapsody) in A minor,Orchestral,,,,,,,Orchestral,
16,45,1874,Smy_cov_ kvartet _. 7 a moll,String Quartet No. 7 in A minor,"for 2 violins, viola and cello",,,,,,,Chamber Music,
17,46,1874,Tvrd_ palice,The Stubborn Lovers,,,,,,,,Opera,
40,47,1875,Nokturno H dur pro smy_ce,Nocturne in B major,for string orchestra,,,,,,,Orchestral,
40,48a,1875,Nokturno H dur pro housle a klavÍr,Nocturne in B major,for violin and piano,,,,,,,Chamber Music,
40,48b,1875,Nokturno H dur,Nocturne in B major,for piano 4-hands,,,,,,,Piano,
77,49,1875,Smy_cov_ kvintet _. 2 G dur,String Quintet No. 2 in G major,"for 2 violins, viola, cello and double bass",,,,,,,Chamber Music,
20,50,1875,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano (or alto), tenor and piano",,,,,,,Vocal,
21,51,1875,KlavÍrnÍ trio _. 1 B dur,Piano Trio No. 1 in B_ major,"for violin, cello and piano",,,,,,,Chamber Music,
22,52,1875,Smy_covˆ serenˆda E dur,Serenade for Strings in E major,for string orchestra,,,,,,,Orchestral,
23,53,1875,KlavÍrnÍ kvartet _. 1 D dur,Piano Quartet No. 1 in D major,"for violin, viola, cello and piano",,,,,,,Chamber Music,
76,54,1875,Symfonie _. 5 F dur,Symphony No. 5 in F major,Orchestral,,,,,,,Orchestral,
25,55,1875,Vanda,Vanda,,,,,,,,Opera,
